INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
222010958,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1, ,0,2022-01-28 21:29:00,2022,1,Friday,21,,TREMONT ST,0,0,"(0, 0)"
222010957,1831,,SICK ASSIST,C11, ,0,2022-02-14 23:23:00,2022,2,Monday,23,,HOWE ST,0,0,"(0, 0)"
222010954,3410,,TOWED MOTOR VEHICLE,A1, ,0,2022-02-14 23:10:00,2022,2,Monday,23,,SALEM ST,0,0,"(0, 0)"
222010952,724,,AUTO THEFT,C11, ,0,2022-02-14 22:47:00,2022,2,Monday,22,,GIBSON ST,0,0,"(0, 0)"
222010951,301,,ROBBERY,B2,604,0,2022-02-14 22:34:00,2022,2,Monday,22,,HUNTINGTON AVE,0,0,"(0, 0)"
222010950,3410,,TOWED MOTOR VEHICLE,E13, ,0,2022-02-14 21:54:00,2022,2,Monday,21,,ELIOT ST,0,0,"(0, 0)"
222010948,2907,,VAL - OPERATING AFTER REV/SUSP.,C11, ,0,2022-02-14 22:07:00,2022,2,Monday,22,,"BOWDOIN AVE & MALLON RD
DORCHESTER  MA 02121
UNITE",0,0,"(0, 0)"
222010945,1831,,SICK ASSIST,C11, ,0,2022-02-14 21:28:00,2022,2,Monday,21,,BUTLER ST,0,0,"(0, 0)"
222010944,3115,,INVESTIGATE PERSON,B3, ,0,2022-02-14 21:59:00,2022,2,Monday,21,,HARVARD ST,0,0,"(0, 0)"
222010943,1831,,SICK ASSIST,A7, ,0,2022-02-14 21:52:00,2022,2,Monday,21,,TRENTON ST,0,0,"(0, 0)"
222010942,3802,,M/V ACCIDENT - PROPERTY DAMAGE,C11, ,0,2022-02-14 21:22:00,2022,2,Monday,21,,"WASHINGTON ST & HARVARD ST
DORCHESTER  MA 02121
UN",0,0,"(0, 0)"
222010941,3115,,INVESTIGATE PERSON,B3,439,0,2022-02-14 21:45:00,2022,2,Monday,21,,CALLENDER ST,0,0,"(0, 0)"
222010940,1831,,SICK ASSIST,A1,77,0,2022-02-14 22:15:00,2022,2,Monday,22,,BOWKER ST,0,0,"(0, 0)"
222010938,1831,,SICK ASSIST,A7, ,0,2022-02-14 19:34:00,2022,2,Monday,19,,BENNINGTON ST,0,0,"(0, 0)"
222010937,3115,,INVESTIGATE PERSON,C6,186,0,2022-02-14 21:20:00,2022,2,Monday,21,,ALLSTATE RD,0,0,"(0, 0)"
222010936,2670,,HARASSMENT/ CRIMINAL HARASSMENT,A7,907,0,2022-02-14 21:16:00,2022,2,Monday,21,,BORDER ST,0,0,"(0, 0)"
222010935,1501,,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,B2, ,0,2022-02-14 21:40:00,2022,2,Monday,21,,275 CENTRE ST,0,0,"(0, 0)"
222010934,1831,,SICK ASSIST,C6, ,0,2022-02-14 21:04:00,2022,2,Monday,21,,SOUTHAMPTON ST,0,0,"(0, 0)"
222010933,3802,,M/V ACCIDENT - PROPERTY DAMAGE,C11,459,0,2022-02-14 21:02:00,2022,2,Monday,21,,WASHINGTON ST,0,0,"(0, 0)"
222010931,2905,,VAL - VIOLATION OF AUTO LAW,B2, ,0,2022-02-14 21:03:00,2022,2,Monday,21,,"WARREN ST & ROCKVILLE PARK
BOSTON  MA 02119
UNITED",0,0,"(0, 0)"
222010930,1831,,SICK ASSIST,A7, ,0,2022-02-14 20:16:00,2022,2,Monday,20,,BORDER ST,0,0,"(0, 0)"
222010858,1109,,FRAUD - WIRE,D4, ,0,2022-02-11 12:00:00,2022,2,Friday,12,,HUNTINGTON AVE,0,0,"(0, 0)"
222010927,3801,,M/V ACCIDENT - OTHER,A1,104,0,2022-02-14 18:50:00,2022,2,Monday,18,,"FRANKLIN ST & HAWLEY ST
BOSTON  MA 02110
UNITED ST",0,0,"(0, 0)"
222010926,2670,,HARASSMENT/ CRIMINAL HARASSMENT,D14, ,0,2022-02-14 20:55:00,2022,2,Monday,20,,BRONSDON ST,0,0,"(0, 0)"
222010925,2905,,VAL - VIOLATION OF AUTO LAW,B2, ,0,2022-02-14 20:22:00,2022,2,Monday,20,,"COLUMBIA RD & GENEVA AVE
DORCHESTER  MA 02121
UNIT",0,0,"(0, 0)"
222010924,3501,,MISSING PERSON,D14,778,0,2022-02-14 20:00:00,2022,2,Monday,20,,WASHINGTON ST,0,0,"(0, 0)"
222010923,3115,,INVESTIGATE PERSON,B3, ,0,2022-02-14 20:05:00,2022,2,Monday,20,,HOSMER ST,0,0,"(0, 0)"
222010921,617,,LARCENY THEFT FROM BUILDING,D4, ,0,2022-02-14 16:00:00,2022,2,Monday,16,,COLUMBUS AVE,0,0,"(0, 0)"
222010920,724,,AUTO THEFT,A1, ,0,2022-02-13 00:30:00,2022,2,Sunday,0,,CHARLES ST,0,0,"(0, 0)"
222010918,3207,,PROPERTY - FOUND,D4, ,0,2022-02-14 19:16:00,2022,2,Monday,19,,NEWBURY ST,0,0,"(0, 0)"
222010916,613,,LARCENY SHOPLIFTING,A1, ,0,2022-02-14 18:21:00,2022,2,Monday,18,,SUMMER ST,0,0,"(0, 0)"
222010915,3115,,INVESTIGATE PERSON,E5, ,0,2022-02-14 19:17:00,2022,2,Monday,19,,FLORENCE ST,0,0,"(0, 0)"
222010914,3410,,TOWED MOTOR VEHICLE,B3, ,0,2022-02-14 17:26:00,2022,2,Monday,17,,WOLCOTT ST,0,0,"(0, 0)"
222010913,3802,,M/V ACCIDENT - PROPERTY DAMAGE,A7, ,0,2022-02-14 19:28:00,2022,2,Monday,19,,WILLIAM F MCCLELLAN HWY,0,0,"(0, 0)"
222010912,2610,,TRESPASSING,B2, ,0,2022-02-14 19:30:00,2022,2,Monday,19,,DUDLEY ST,0,0,"(0, 0)"
222010910,3114,,INVESTIGATE PROPERTY,B3, ,0,2022-02-14 19:43:00,2022,2,Monday,19,,BLUE HILL AVE,0,0,"(0, 0)"
222010909,1831,,SICK ASSIST,E5, ,0,2022-02-14 18:33:00,2022,2,Monday,18,,"METROPOLITAN AVE & WASHINGTON ST
ROSLINDALE  MA 02",0,0,"(0, 0)"
222010908,3201,,PROPERTY - LOST/ MISSING,D4, ,0,2022-02-14 19:29:00,2022,2,Monday,19,,HARRISON AVE,0,0,"(0, 0)"
222010907,3115,,INVESTIGATE PERSON,D4, ,0,2022-02-14 18:29:00,2022,2,Monday,18,,BOYLSTON ST,0,0,"(0, 0)"
222010906,3821,,M/V ACCIDENT - INVOLVING PEDESTRIAN - NO INJURY,C11,355,0,2022-02-14 18:45:00,2022,2,Monday,18,,GIBSON ST,0,0,"(0, 0)"
222010903,3115,,INVESTIGATE PERSON,E13, ,0,2022-02-14 18:29:00,2022,2,Monday,18,,UNION AVE,0,0,"(0, 0)"
222010901,423,,ASSAULT - AGGRAVATED,D4, ,0,2022-02-14 18:30:00,2022,2,Monday,18,,ALBANY ST,0,0,"(0, 0)"
222010900,613,,LARCENY SHOPLIFTING,D4, ,0,2022-02-14 17:30:00,2022,2,Monday,17,,HUNTINGTON AVE,0,0,"(0, 0)"
222010899,3115,,INVESTIGATE PERSON,E5, ,0,2022-02-14 18:30:00,2022,2,Monday,18,,BRADEEN ST,0,0,"(0, 0)"
222010895,1402,,VANDALISM,E13, ,0,2022-02-14 18:14:00,2022,2,Monday,18,,WASHINGTON ST,0,0,"(0, 0)"
222010893,2647,,THREATS TO DO BODILY HARM,B2, ,0,2022-02-14 18:14:00,2022,2,Monday,18,,WASHINGTON ST,0,0,"(0, 0)"
222010891,1831,,SICK ASSIST,E13, ,0,2022-02-14 17:53:00,2022,2,Monday,17,,GLEN RD,0,0,"(0, 0)"
222010890,530,,BREAKING AND ENTERING (B&E) MOTOR VEHICLE,B2, ,0,2022-02-14 17:39:00,2022,2,Monday,17,,HUNTINGTON AVE,0,0,"(0, 0)"
222010889,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1,97,0,2022-02-14 18:00:00,2022,2,Monday,18,,SCHOOL ST,0,0,"(0, 0)"
222010887,619,,LARCENY ALL OTHERS,D4, ,0,2022-02-12 18:29:00,2022,2,Saturday,18,,EAST BERKELEY STREET,0,0,"(0, 0)"
222010885,801,,ASSAULT - SIMPLE,B2, ,0,2022-02-14 17:46:00,2022,2,Monday,17,,MELNEA CASS BLVD,0,0,"(0, 0)"
222010883,3205,,M/V PLATES - LOST,C11,355,0,2022-02-14 12:30:00,2022,2,Monday,12,,GIBSON ST,0,0,"(0, 0)"
222010881,3115,,INVESTIGATE PERSON,C6, ,0,2022-02-14 17:10:00,2022,2,Monday,17,,W BROADWAY,0,0,"(0, 0)"
222010880,1831,,SICK ASSIST,D4, ,0,2022-02-14 16:48:00,2022,2,Monday,16,,NORTHAMPTON ST,0,0,"(0, 0)"
222010878,3207,,PROPERTY - FOUND,D4,143,0,2022-02-14 17:00:00,2022,2,Monday,17,,BOYLSTON ST,0,0,"(0, 0)"
222010877,1831,,SICK ASSIST,E18, ,0,2022-02-14 16:46:00,2022,2,Monday,16,,BISMARCK ST,0,0,"(0, 0)"
222010876,3114,,INVESTIGATE PROPERTY,C11, ,0,2022-02-14 17:00:00,2022,2,Monday,17,,MELVILLE AVE,0,0,"(0, 0)"
222010874,3801,,M/V ACCIDENT - OTHER,A7, ,0,2022-02-14 16:42:00,2022,2,Monday,16,,BENNINGTON ST,0,0,"(0, 0)"
222010873,520,,BURGLARY - RESIDENTIAL,E5, ,0,2022-02-14 16:47:00,2022,2,Monday,16,,RIDGE ST,0,0,"(0, 0)"
222010872,3201,,PROPERTY - LOST/ MISSING,A1,104,0,2022-01-24 15:00:00,2022,1,Monday,15,,WASHINGTON ST,0,0,"(0, 0)"
222010871,1501,,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,B3,417,0,2022-02-14 17:14:00,2022,2,Monday,17,,ROCKWELL ST,0,0,"(0, 0)"
222010870,2647,,THREATS TO DO BODILY HARM,B2, ,0,2022-02-14 16:44:00,2022,2,Monday,16,,WAYLAND ST,0,0,"(0, 0)"
222010868,613,,LARCENY SHOPLIFTING,A1, ,0,2022-02-14 15:39:00,2022,2,Monday,15,,STUART ST,0,0,"(0, 0)"
222010867,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6, ,0,2022-02-14 14:30:00,2022,2,Monday,14,,"MELNEA CASS BLVD & MASSACHUSETTS AVE
BOSTON  MA 02",0,0,"(0, 0)"
222010866,3115,,INVESTIGATE PERSON,E18, ,0,2022-02-14 13:44:00,2022,2,Monday,13,,DAVISON ST,0,0,"(0, 0)"
222010865,3122,,AIRCRAFT INCIDENTS,A7, ,0,2022-02-14 16:33:00,2022,2,Monday,16,,PRESCOTT ST,0,0,"(0, 0)"
222010864,3006,,SICK/INJURED/MEDICAL - PERSON,C11, ,0,2022-02-14 16:16:00,2022,2,Monday,16,,GREENMOUNT ST,0,0,"(0, 0)"
222010862,3201,,PROPERTY - LOST/ MISSING,A1,77,0,2022-02-14 13:30:00,2022,2,Monday,13,,SUDBURY ST,0,0,"(0, 0)"
222010861,3301,,VERBAL DISPUTE,C11, ,0,2022-02-14 16:09:00,2022,2,Monday,16,,HAMILTON ST,0,0,"(0, 0)"
222010860,1831,,SICK ASSIST,D4, ,0,2022-02-14 15:38:00,2022,2,Monday,15,,AGUADILLA ST,0,0,"(0, 0)"
222010859,1102,,FRAUD - FALSE PRETENSE / SCHEME,C6,200,0,2022-01-31 00:00:00,2022,1,Monday,0,,W BROADWAY,0,0,"(0, 0)"
222010856,3803,,M/V ACCIDENT - PERSONAL INJURY,B3, ,0,2022-02-14 15:48:00,2022,2,Monday,15,,ITASCA ST,0,0,"(0, 0)"
222010855,3112,,LANDLORD - TENANT,B2,282,0,2022-02-14 16:00:00,2022,2,Monday,16,,SAINT JAMES STREET,0,0,"(0, 0)"
222010852,1832,,SICK ASSIST - DRUG RELATED ILLNESS,B2,323,0,2022-02-14 15:42:00,2022,2,Monday,15,,HOLBORN ST,0,0,"(0, 0)"
222010851,619,,LARCENY ALL OTHERS,D14,804,0,2022-02-11 12:32:00,2022,2,Friday,12,,GUEST ST,0,0,"(0, 0)"
222010848,3201,,PROPERTY - LOST/ MISSING,D4, ,0,2022-02-14 15:20:00,2022,2,Monday,15,,HARRISON AVE,0,0,"(0, 0)"
222010847,2610,,TRESPASSING,C6, ,0,2022-02-14 14:57:00,2022,2,Monday,14,,COLUMBIA RD,0,0,"(0, 0)"
222010846,3830,,M/V - LEAVING SCENE - PERSONAL INJURY,E18, ,0,2022-02-14 14:25:00,2022,2,Monday,14,,AMERICAN LEGION HWY,0,0,"(0, 0)"
222010845,3112,,LANDLORD - TENANT,E18,520,0,2022-02-14 09:00:00,2022,2,Monday,9,,HYDE PARK AVE,0,0,"(0, 0)"
222010843,3114,,INVESTIGATE PROPERTY,A15, ,0,2022-02-14 13:29:00,2022,2,Monday,13,,RUTHERFORD AVE,0,0,"(0, 0)"
222010841,3114,,INVESTIGATE PROPERTY,C11, ,0,2022-02-14 14:22:00,2022,2,Monday,14,,DORCHESTER AVE,0,0,"(0, 0)"
222010839,3501,,MISSING PERSON,D14, ,0,2022-02-14 13:59:00,2022,2,Monday,13,,ALLSTON ST,0,0,"(0, 0)"
222010838,3115,,INVESTIGATE PERSON,E5, ,0,2022-02-14 14:32:00,2022,2,Monday,14,,CENTRE ST,0,0,"(0, 0)"
222010836,613,,LARCENY SHOPLIFTING,C11, ,0,2022-02-14 13:50:00,2022,2,Monday,13,,GALLIVAN BLVD,0,0,"(0, 0)"
222010833,3115,,INVESTIGATE PERSON,B3, ,0,2022-02-14 14:01:00,2022,2,Monday,14,,WEST SELDEN STREET,0,0,"(0, 0)"
222010832,801,,ASSAULT - SIMPLE,D4, ,0,2022-02-14 14:06:00,2022,2,Monday,14,,BOYLSTON ST,0,0,"(0, 0)"
222010831,1831,,SICK ASSIST,A7, ,0,2022-02-14 13:33:00,2022,2,Monday,13,,PORTER ST,0,0,"(0, 0)"
222010827,1402,,VANDALISM,B2, ,0,2022-02-14 13:36:00,2022,2,Monday,13,,WALNUT AVE,0,0,"(0, 0)"
222010825,3410,,TOWED MOTOR VEHICLE,C11, ,0,2022-02-14 13:01:00,2022,2,Monday,13,,HANCOCK ST,0,0,"(0, 0)"
222010823,3410,,TOWED MOTOR VEHICLE,C6, ,0,2022-02-14 09:23:00,2022,2,Monday,9,,E FOURTH ST,0,0,"(0, 0)"
222010822,3115,,INVESTIGATE PERSON,E5, ,0,2022-02-14 13:11:00,2022,2,Monday,13,,VFW PKWY,0,0,"(0, 0)"
222010820,1831,,SICK ASSIST,E18, ,0,2022-02-14 12:38:00,2022,2,Monday,12,,RIVER ST,0,0,"(0, 0)"
222010818,1831,,SICK ASSIST,B3,466,0,2022-02-14 13:05:00,2022,2,Monday,13,,BLUE HILL AVE,0,0,"(0, 0)"
222010817,3115,,INVESTIGATE PERSON,C11,355,0,2022-02-14 12:00:00,2022,2,Monday,12,,GIBSON ST,0,0,"(0, 0)"
222010816,3802,,M/V ACCIDENT - PROPERTY DAMAGE,D14, ,0,2022-02-14 13:12:00,2022,2,Monday,13,,WASHINGTON ST,0,0,"(0, 0)"
222010815,3802,,M/V ACCIDENT - PROPERTY DAMAGE,B2, ,0,2022-02-14 13:14:00,2022,2,Monday,13,,"BELDEN ST & DUDLEY ST
DORCHESTER  MA 02125
UNITED ",0,0,"(0, 0)"
222010813,1831,,SICK ASSIST,B3,422,0,2022-02-14 12:33:00,2022,2,Monday,12,,RIVER ST,0,0,"(0, 0)"
222010812,1831,,SICK ASSIST,E13, ,0,2022-02-14 12:59:00,2022,2,Monday,12,,HYDE PARK AVE,0,0,"(0, 0)"
222010810,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11, ,0,2022-02-14 13:03:00,2022,2,Monday,13,,"HOMES AVE & BOWDOIN ST
DORCHESTER  MA 02124
UNITED",0,0,"(0, 0)"
222010808,2647,,THREATS TO DO BODILY HARM,C6, ,0,2022-02-14 12:19:00,2022,2,Monday,12,,FLAHERTY WAY,0,0,"(0, 0)"
222010806,613,,LARCENY SHOPLIFTING,E13, ,0,2022-02-14 12:39:00,2022,2,Monday,12,,COLUMBUS AVE,0,0,"(0, 0)"
222010805,617,,LARCENY THEFT FROM BUILDING,D4, ,0,2022-02-12 23:08:00,2022,2,Saturday,23,,SHAWMUT AVE,0,0,"(0, 0)"
222010804,3410,,TOWED MOTOR VEHICLE,B3,417,0,2022-02-14 11:48:00,2022,2,Monday,11,,STOCKTON STREET,0,0,"(0, 0)"
222010803,1402,,VANDALISM,C11, ,0,2022-02-13 18:00:00,2022,2,Sunday,18,,"SOUTHWICK ST & FREEPORT ST
DORCHESTER  MA 02122
UN",0,0,"(0, 0)"
222010801,3201,,PROPERTY - LOST/ MISSING,B2,308,0,2022-02-14 12:51:00,2022,2,Monday,12,,BOWER ST,0,0,"(0, 0)"
222010800,724,,AUTO THEFT,A1,77,0,2022-02-13 16:00:00,2022,2,Sunday,16,,SUDBURY ST,0,0,"(0, 0)"
222010799,3801,,M/V ACCIDENT - OTHER,B2, ,0,2022-02-14 11:54:00,2022,2,Monday,11,,"QUINCY ST & BLUE HILL AVE
ROXBURY  MA 02121
UNITED",0,0,"(0, 0)"
222010798,1831,,SICK ASSIST,C11, ,0,2022-02-14 11:54:00,2022,2,Monday,11,,LONSDALE ST,0,0,"(0, 0)"
222010797,3410,,TOWED MOTOR VEHICLE,A15, ,0,2022-02-14 12:08:00,2022,2,Monday,12,,DUNSTABLE ST,0,0,"(0, 0)"
222010796,3006,,SICK/INJURED/MEDICAL - PERSON,A15, ,0,2022-02-14 11:10:00,2022,2,Monday,11,,OLD IRONSIDES WAY,0,0,"(0, 0)"
222010794,615,,LARCENY THEFT OF MV PARTS & ACCESSORIES,B3, ,0,2022-02-13 18:00:00,2022,2,Sunday,18,,BOYDEN ST,0,0,"(0, 0)"
222010793,520,,BURGLARY - RESIDENTIAL,C11, ,0,2022-02-14 11:52:00,2022,2,Monday,11,,HECLA ST,0,0,"(0, 0)"
222010792,1831,,SICK ASSIST,B3, ,0,2022-02-14 11:37:00,2022,2,Monday,11,,TIVERTON RD,0,0,"(0, 0)"
222010790,724,,AUTO THEFT,B2, ,0,2022-02-14 12:06:00,2022,2,Monday,12,,BLUE HILL AVE,0,0,"(0, 0)"
222010789,3201,,PROPERTY - LOST/ MISSING,E5,691,0,2022-02-12 22:00:00,2022,2,Saturday,22,,CENTRE ST,0,0,"(0, 0)"
222010788,3810,,M/V ACCIDENT - INVOLVING BICYCLE - INJURY,B2, ,0,2022-02-14 12:04:00,2022,2,Monday,12,,"AVENUE LOUIS PASTEUR & BLACKFAN CIR
ROXBURY  MA 02",0,0,"(0, 0)"
222010786,3410,,TOWED MOTOR VEHICLE,C6,925,0,2022-02-14 11:50:00,2022,2,Monday,11,,OLD COLONY AVE,0,0,"(0, 0)"
222010784,1402,,VANDALISM,B2, ,0,2022-02-14 11:45:00,2022,2,Monday,11,,CIRCUIT ST,0,0,"(0, 0)"
222010783,3301,,VERBAL DISPUTE,B2,318,0,2022-02-14 00:00:00,2022,2,Monday,0,,BROOKLEDGE ST,0,0,"(0, 0)"
222010782,2670,,HARASSMENT/ CRIMINAL HARASSMENT,B3, ,0,2022-02-14 11:37:00,2022,2,Monday,11,,WILMINGTON AVE,0,0,"(0, 0)"
222010781,613,,LARCENY SHOPLIFTING,D4, ,0,2022-02-14 11:28:00,2022,2,Monday,11,,HUNTINGTON AVE,0,0,"(0, 0)"
222010780,724,,AUTO THEFT,C11, ,0,2022-02-14 11:34:00,2022,2,Monday,11,,WASHINGTON ST,0,0,"(0, 0)"
222010778,3114,,INVESTIGATE PROPERTY,B2, ,0,2022-02-14 11:19:00,2022,2,Monday,11,,WINTHROP ST,0,0,"(0, 0)"
222010776,724,,AUTO THEFT,A7, ,0,2022-02-14 03:30:00,2022,2,Monday,3,,CONDOR ST,0,0,"(0, 0)"
222010775,2647,,THREATS TO DO BODILY HARM,B2,289,0,2022-02-08 00:00:00,2022,2,Tuesday,0,,TREMONT ST,0,0,"(0, 0)"
222010774,1402,,VANDALISM,D14,778,0,2022-02-11 19:00:00,2022,2,Friday,19,,WASHINGTON ST,0,0,"(0, 0)"
222010773,1831,,SICK ASSIST,D4, ,0,2022-02-14 10:54:00,2022,2,Monday,10,,FAY ST,0,0,"(0, 0)"
222010772,3410,,TOWED MOTOR VEHICLE,A1, ,0,2022-02-14 09:37:00,2022,2,Monday,9,,ENDICOTT ST,0,0,"(0, 0)"
222010771,3115,,INVESTIGATE PERSON,C6, ,0,2022-02-14 11:04:00,2022,2,Monday,11,,W BROADWAY,0,0,"(0, 0)"
222010770,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,778,0,2022-02-13 16:00:00,2022,2,Sunday,16,,WASHINGTON ST,0,0,"(0, 0)"
222010769,801,,ASSAULT - SIMPLE,C11, ,0,2022-02-14 10:27:00,2022,2,Monday,10,,HANCOCK ST,0,0,"(0, 0)"
222010768,615,,LARCENY THEFT OF MV PARTS & ACCESSORIES,D4,167,0,2022-02-14 10:00:00,2022,2,Monday,10,,HARRISON AVE,0,0,"(0, 0)"
222010766,3115,,INVESTIGATE PERSON,C11,355,0,2022-02-11 00:00:00,2022,2,Friday,0,,GIBSON ST,0,0,"(0, 0)"
222010765,3410,,TOWED MOTOR VEHICLE,D14, ,0,2022-02-14 09:48:00,2022,2,Monday,9,,MANSFIELD ST,0,0,"(0, 0)"
222010763,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13, ,0,2022-02-14 09:18:00,2022,2,Monday,9,,BANCROFT ST,0,0,"(0, 0)"
222010761,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2, ,0,2022-02-14 10:07:00,2022,2,Monday,10,,BROOKFORD ST,0,0,"(0, 0)"
222010760,520,,BURGLARY - RESIDENTIAL,B3,465,0,2022-02-14 09:41:00,2022,2,Monday,9,,BLUE HILL AVE,0,0,"(0, 0)"
222010759,3115,,INVESTIGATE PERSON,B3, ,0,2022-02-12 22:22:00,2022,2,Saturday,22,,STRATTON ST,0,0,"(0, 0)"
222010758,619,,LARCENY ALL OTHERS,E13, ,0,2022-02-14 09:00:00,2022,2,Monday,9,,MARMION ST,0,0,"(0, 0)"
222010756,3201,,PROPERTY - LOST/ MISSING,A1,111,0,2022-02-14 09:45:00,2022,2,Monday,9,,BOYLSTON ST,0,0,"(0, 0)"
222010755,801,,ASSAULT - SIMPLE,B2,289,0,2022-02-14 00:00:00,2022,2,Monday,0,,MALCOLM X BLVD,0,0,"(0, 0)"
222010754,3018,,SICK/INJURED/MEDICAL - POLICE,A1, ,0,2022-02-14 09:04:00,2022,2,Monday,9,,PEMBERTON SQ,0,0,"(0, 0)"
222010753,1831,,SICK ASSIST,E18, ,0,2022-02-14 09:16:00,2022,2,Monday,9,,MASSASOIT ST,0,0,"(0, 0)"
222010751,3201,,PROPERTY - LOST/ MISSING,B3,465,0,2022-02-13 11:30:00,2022,2,Sunday,11,,BLUE HILL AVE,0,0,"(0, 0)"
222010750,3410,,TOWED MOTOR VEHICLE,E13,303,0,2022-02-14 07:37:00,2022,2,Monday,7,,BANCROFT ST,0,0,"(0, 0)"
222010749,1831,,SICK ASSIST,B2, ,0,2022-02-14 08:41:00,2022,2,Monday,8,,WALNUT CT,0,0,"(0, 0)"
222010748,3410,,TOWED MOTOR VEHICLE,B2, ,0,2022-02-14 08:40:00,2022,2,Monday,8,,DECKARD ST,0,0,"(0, 0)"
222010747,3301,,VERBAL DISPUTE,E18,493,0,2022-02-14 09:00:00,2022,2,Monday,9,,WOOD AVE,0,0,"(0, 0)"
222010746,1831,,SICK ASSIST,D14, ,0,2022-02-14 08:15:00,2022,2,Monday,8,,ALLSTON ST,0,0,"(0, 0)"
222010745,3410,,TOWED MOTOR VEHICLE,C11, ,0,2022-02-14 08:36:00,2022,2,Monday,8,,SAXTON ST,0,0,"(0, 0)"
222010744,619,,LARCENY ALL OTHERS,D4, ,0,2022-02-11 17:00:00,2022,2,Friday,17,,COMMONWEALTH AVE,0,0,"(0, 0)"
222010743,2403,,DISTURBING THE PEACE/ DISORDERLY CONDUCT/ GATHERING CAUSING ANNOYANCE/ NOISY PAR,A1,73,0,2022-02-14 09:04:00,2022,2,Monday,9,,PEMBERTON SQ,0,0,"(0, 0)"
222010742,1831,,SICK ASSIST,B2, ,0,2022-02-14 09:05:00,2022,2,Monday,9,,HUMBOLDT AVE,0,0,"(0, 0)"
222010741,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B3,465,0,2022-02-14 02:40:00,2022,2,Monday,2,,BLUE HILL AVE,0,0,"(0, 0)"
